record id,Product_Rating,Service_Rating,Sales_Rep_Rating
S01011,5,3,5
S01012,3,5,5
S01013,3,2,2
S01014,4,5,2
S01015,1,1,2
S01016,4,5,3
S01017,4,1,4
S01018,5,4,4
S01019,5,1,3
S01020,5,5,3
S01021,5,3,2
S01022,5,5,2
S01023,5,1,1
S01024,5,3,2
S01025,3,1,5
S01026,2,2,5
S01027,3,4,5
S01028,3,2,3
S01029,1,5,3
S01030,1,5,3
S01031,3,4,4
S01032,2,1,2
S01033,2,1,1
S01034,3,4,1
S01035,3,1,3
S01036,5,2,5
S01037,5,1,4
S01038,5,5,2
S01039,4,1,4
S01040,3,4,1
S01041,3,3,2
S01042,3,4,5
S01043,1,5,2
S01044,1,2,5
S01045,3,5,4
S01046,2,2,4
S01047,2,4,3
S01048,4,4,4
S01049,5,4,1
S01050,3,5,4
S01051,2,5,4
S01052,4,5,3
S01053,5,2,3
S01054,4,1,3
S01055,4,5,4
S01056,5,3,1
S01057,1,4,1
S01058,3,1,4
S01059,2,1,4
S01060,2,3,5
S01061,3,4,1
S01062,1,1,3
S01063,3,2,4
S01064,3,4,1
S01065,5,3,2
S01066,3,2,2
S01067,5,5,5
S01068,3,5,3
S01069,4,4,3
S01070,3,5,4
S01071,4,2,3
S01072,4,5,3
S01073,2,2,1
S01074,2,4,1
S01075,2,3,3
S01076,3,1,2
S01077,1,5,4
S01078,2,3,2
S01079,3,5,1
S01080,3,3,4
S01081,3,5,2
S01082,5,1,3
S01083,5,4,3
S01084,4,5,4
S01085,5,3,3
S01086,3,4,3
S01087,5,3,2
S01088,3,3,1
S01089,4,1,1
S01090,3,1,3
S01091,4,4,3
S01092,4,3,5
S01093,1,4,4
S01094,1,4,4
S01095,1,2,4
S01096,4,5,1
S01097,5,5,4
S01098,4,2,2
S01099,3,5,3
S01100,1,3,4
S01101,2,2,2
S01102,1,5,4
S01103,4,3,2
S01104,5,1,1
S01105,2,2,1
S01106,3,1,2
S01107,1,5,3
S01108,2,2,2
S01109,5,4,2
S01110,4,5,5
S01111,3,2,1
S01112,1,2,5
S01113,4,2,3
S01114,1,3,4
S01115,2,2,2
S01116,3,2,5
S01117,1,5,5
S01118,4,5,4
S01119,1,4,2
S01120,3,3,5
S01121,5,1,1
S01122,2,2,5
S01123,1,1,1
S01124,5,1,5
S01125,3,5,3
S01126,4,5,1
S01127,5,2,2
S01128,2,3,4
S01129,5,3,3
S01130,3,4,1
S01131,5,5,4
S01132,2,5,3
S01133,5,3,5
S01134,3,4,1
S01135,2,4,3
S01136,3,3,4
S01137,1,3,3
S01138,4,3,3
S01139,5,2,1
S01140,2,2,2
S01141,5,1,3
S01142,4,5,4
S01143,1,4,1
S01144,3,2,4
S01145,4,1,2
S01146,5,3,3
S01147,1,2,3
S01148,2,5,2
S01149,1,3,4
S01150,1,3,4
S01151,3,5,2
S01152,3,2,1
S01153,2,3,1
S01154,1,5,4
S01155,3,5,2
S01156,2,2,1
S01157,2,4,1
S01158,1,4,5
S01159,5,1,4
S01160,5,4,1
S01161,2,1,2
S01162,1,1,5
S01163,4,1,2
S01164,3,1,1
S01165,1,5,5
S01166,2,1,4
S01167,2,4,4
S01168,2,2,4
S01169,3,2,5
S01170,3,1,1
S01171,4,3,2
S01172,4,2,1
S01173,3,5,1
S01174,3,3,1
S01175,1,2,4
S01176,2,2,1
