record_id,Date,Sales_Rep,Customer,Product,COGS,Sales,Country,State
S00051,10/16/17,Barbara C,Solar and Wind Inc.,XVI Item,4250.1646,7327.87,United States, Michigan
S00052,4/1/18,Barbara C,The Economist,QSA Item,6032.3582,6451.72,United States, Minnesota
S00053,7/26/17,Barbara C,Amazon.com,HGB Item,3913.9425,5218.59,United States, Illinois
S00054,6/2/18,Barbara C,Office Depot,HNW Item,4484.9024,5096.48,United States, Indiana
S00055,4/23/19,Barbara C,Peet's Coffee,JXE Item,1673.6358,4523.34,United States, Iowa
S00056,4/10/19,Barbara C,Yahoo,WLI Item,2373.2788,4091.86,United States, Michigan
S00057,5/7/18,Barbara C,Home Depot,NEJ Item,2608.936,2964.7,United States, Minnesota
S00058,4/1/18,Barbara C,Amazon.com,SQN Item,1506.989,2739.98,United States, Missouri
S00059,11/4/17,Barbara C,Whole Foods,ZMB Item,1445.4115,2449.85,United States, Ohio
S00060,10/15/18,Barbara C,Costco,WIL Item,815.2089,1381.71,United States, Wisconsin
S00061,3/16/18,Barbara C,Amazon.com,ABM Item,335.06,609.2,United States, Illinois
S00062,3/21/19,Catherine W,Peet's Coffee,JOG Item,4823.687,8770.34,United States, Indiana
S00063,9/30/17,Catherine W,Office Depot,KYB Item,3236.7341,8747.93,United States, Iowa
S00064,5/16/19,Catherine W,Costco,LGL Item,4533.7575,6045.01,United States, Michigan
S00065,4/18/19,Catherine W,Amazon.com,VWP Item,2322.1385,4222.07,United States, Minnesota
S00066,4/5/19,Catherine W,Peet's Coffee,FEP Item,1451.0068,3921.64,United States, Illinois
S00067,3/26/19,Catherine W,Yahoo,KMU Item,2675.9325,3567.91,United States, Indiana
S00068,7/27/18,Catherine W,McLendon's Hardware,UTT Item,1468.2327,2488.53,United States, Iowa
S00069,10/28/18,Catherine W,Google,FRX Item,2044.34945,2186.47,United States, Michigan
S00070,1/24/18,Catherine W,Costco,AZL Item,114.0255,253.39,United States, Minnesota
S00071,6/17/17,Cherry M,ExcelIsVeryFun.com,MWN Item,6305.0008,9272.06,United States, Missouri
S00072,2/11/18,Cherry M,ExcelIsVeryFun.com,VMC Item,4673.3074,7920.86,United States, Ohio
S00073,1/7/18,Cherry M,Costco,MUQ Item,2486.4555,6720.15,United States, Wisconsin
S00074,,Cherry M,Home Depot,IND Item,2673.2412,6216.84,United States, Illinois
S00075,12/4/18,Cherry M,Home Depot,RTF Item,2741.013,,United States, Indiana
S00076,11/29/17,Cherry M,Yahoo,XAQ Item,2669.4,5932,United States, Iowa
S00077,12/14/17,Cherry M,Nature Company,PZB Item,2046.6315,4548.07,United States, Michigan
S00078,9/12/17,Cherry M,Nature Company,VRD Item,3673.2696,4174.17,United States, Minnesota
S00079,3/28/19,Cherry M,Peet's Coffee,NOC Item,1539.5333,3580.31,United States, Illinois
S00080,2/19/19,Cherry M,Office Depot,HUJ Item,949.518,2110.04,United States, Indiana
S00081,4/21/18,Cherry M,Nature Company,CSJ Item,731.8193,1977.89,United States, Iowa
S00082,11/22/18,Cherry M,Office Depot,JKP Item,1014.3214,1748.83,United States, Michigan
S00083,6/24/18,Cherry M,The Economist,NXJ Item,555.7387,941.93,United States, Minnesota
